"padj"
"Acmsd" 2.24847669954913e-32
"Evl" 1.37711820579782e-24
"Dnase1l3" 1.13404990007447e-21
"H2-M3" 6.39409035911544e-20
"Cd180" 8.87855771153377e-15
"Ifi209" 1.10344673117368e-14
"Scimp" 1.73371891477514e-14
"Tbc1d8" 3.0322698475536e-14
"H2-DMb1" 5.64848059965675e-14
"Sting1" 3.48687047868983e-13
"Klf3" 1.10538838834842e-12
"H2-Ab1" 1.4346691583072e-12
"Cyria" 1.97629497910781e-12
"Ccl6" 2.55550180719335e-12
"Npc2" 2.70825760841366e-12
"Stx4a" 2.83353845455307e-12
"Cpd" 2.83353845455307e-12
"Rnasel" 3.61199640863283e-12
"Itgb7" 5.34904464173431e-12
"H2-Eb1" 5.506890028344e-12
"Tmem229b" 5.63822958434318e-12
"Tnk1" 7.04137144679773e-12
"Irf2" 7.77945566839737e-12
"Pdxk" 1.10725498293308e-11
"Acp3" 1.11438116271e-11
"Kdm5b" 1.51655928791935e-11
"Parp11" 2.01651846913308e-11
"Rflnb" 3.32371040997267e-11
"Irf5" 3.80257916853526e-11
"Stk38" 4.31770967161856e-11
"H2-Aa" 7.89629954349644e-11
"Irf8" 9.49712582338089e-11
"Rgmb" 1.67273530139523e-10
"Cmtm6" 1.76555434473543e-10
"D17H6S56E-5" 1.82116417501923e-10
"Nfe2l1" 4.92143788737948e-10
"Ly6e" 1.05809063702867e-09
"Ift22" 1.73612699833598e-09
"Erap1" 1.79614792757295e-09
"Mndal" 2.39409870740896e-09
"Pld4" 3.05932836153071e-09
"Mettl21a" 3.7758226756301e-09
"Cd74" 4.34687785600437e-09
"Epsti1" 5.62436394688194e-09
"Ly9" 6.04129021597484e-09
"Tut7" 6.91486418526849e-09
"Rusc1" 7.13168886445604e-09
"Emilin2" 8.7418877072077e-09
"Trnau1ap" 9.36207042930625e-09
"Filip1l" 1.00824473894683e-08
"Dennd3" 1.24479644604851e-08
"Gm31619" 1.53693413500058e-08
"Gm32370" 1.53693413500058e-08
"Dennd4a" 1.68585155287107e-08
"Eif5b" 1.74600632048864e-08
"Gpr18" 2.33462588430687e-08
"Cxcl2" 2.40902065669153e-08
"Dhrs7" 2.81263673804357e-08
"H2-DMa" 2.83542272100003e-08
"Unc93b1" 2.83542272100003e-08
"Lcor" 3.15875076132516e-08
"Ssx2ip" 3.28751824745598e-08
"Ssh2" 3.32354772961135e-08
"Gm70122" 3.3956397722313e-08
"Igsf8" 3.40700754300319e-08
"Atp6v0a1" 3.71381499427676e-08
"Zfp467" 5.35341605565135e-08
"Gm71515" 5.49595493284772e-08
"Il1rap" 5.49741026957257e-08
"Zcchc24" 5.56848237537791e-08
"Lgals8" 6.13334712971722e-08
"Klf7" 6.71515043383764e-08
"Rufy3" 7.5425572523031e-08
"Hnrnpa1" 7.5425572523031e-08
"D7Bwg0826e" 7.59087840831276e-08
"Mrpl38" 8.93179925981604e-08
"Ints6l" 9.10719213188594e-08
"Plekhb2" 9.14939697776742e-08
"Fmo5" 1.08028600774034e-07
"Plp2" 1.11362944802478e-07
"Cc2d2b" 1.20027718353008e-07
"Snai1" 1.3030282367636e-07
"Gm16675" 1.43336402891265e-07
"Sp110" 1.55159299376956e-07
"Sipa1l2" 1.76698033129151e-07
"Wnt2" 1.78969772903805e-07
"6430548M08Rik" 1.81412830430463e-07
"Sft2d2" 2.4007169782515e-07
"Ccpg1" 2.4007169782515e-07
"Scly" 2.54881453590453e-07
"Fcgrt" 2.69185417545521e-07
"Rtl5" 3.24842032932693e-07
"Rell1" 3.28193280743597e-07
"Ndst1" 3.4278827410674e-07
"Tex264" 3.84061963760032e-07
"Tcstv4" 3.96770257850663e-07
"Anxa1" 4.01671512374405e-07
"Sash1" 4.25391074198273e-07
"Tlr9" 4.25391074198273e-07
"Ppp5c" 4.45489751544855e-07
"Pacs1" 4.45489751544855e-07
"Aox1" 4.54992845213155e-07
"Cds2" 4.61423981553099e-07
"Ccl22" 4.97614129097274e-07
"Kctd12" 5.22346030868446e-07
"S100a6" 5.65892083415096e-07
"Heatr1" 5.98042959423816e-07
"Dtx4" 6.14641747194162e-07
"Lbp" 7.40046361637334e-07
"Lpl" 7.56697196331133e-07
"Tmc4" 7.62606144779061e-07
"Thbs1" 7.97665840851531e-07
"Ptpn12" 8.0664088539494e-07
"Pbx1" 8.95634848297442e-07
"Rogdi" 9.41259632089264e-07
"Gatb" 9.43683173910953e-07
"Tgif1" 1.08739679567392e-06
"Nab2" 1.26735310338402e-06
"Ankrd33b" 1.32636912112578e-06
"Anxa11" 1.34631993563682e-06
"Rfx5" 1.3641069004712e-06
"Idh3b" 1.42293800601153e-06
"Inppl1" 1.45128199364666e-06
"Aco2" 1.52572534753995e-06
"Stfa3" 1.64319672409741e-06
"Dusp10" 1.82355647084106e-06
"Gm30948" 2.23934297700833e-06
"Ripk2" 2.24203373102356e-06
"Casp6" 2.24703577695315e-06
"Farsa" 2.26191552352519e-06
"Gm36920" 2.29286959624229e-06
"R3hdm4" 2.39469027956968e-06
"Csgalnact2" 2.45340224780243e-06
"Il2rg" 2.77548433466141e-06
"Tagap" 2.83801217029196e-06
"Plxnb2" 2.84428852718983e-06
"Clybl" 2.8762145872017e-06
"Tbc1d9" 2.91114869720587e-06
"Sorl1" 3.19335504920935e-06
"Gm10039" 3.21248102048967e-06
"Gtf3c5" 3.25493066469642e-06
"Cd300e" 3.33843335724407e-06
"Cd40" 3.38009455763656e-06
"Ly86" 3.49573445588949e-06
"Pcca" 3.68972666303699e-06
"Cnn3" 3.8084362524415e-06
"Gm56965" 3.87404661510618e-06
"Serpine2" 4.30600623798212e-06
"Helz2" 4.31367174318962e-06
"Add1" 4.32101442887895e-06
"Gdpd3" 4.90822796672808e-06
"Apobec1" 5.00270371078684e-06
"Ahr" 5.02735154207127e-06
"Stk17b" 5.64159797422751e-06
"Zup1" 5.87379158635988e-06
"Cert1" 5.90510600215311e-06
"Clic5" 5.94257440102101e-06
"Smarca4" 6.75759654951387e-06
"Aimp2" 6.81802928579536e-06
"Atrnl1" 6.81802928579536e-06
"Ceacam1" 7.05010434806693e-06
"Rspo1" 7.36122755482882e-06
"Pde1b" 7.59486735144191e-06
"Ciita" 7.67655451826722e-06
"Fmnl3" 7.97067046673736e-06
"Nlrc4" 8.27147991600086e-06
"Ttc7b" 8.40751167786105e-06
"Gmpr2" 8.72770090633797e-06
"Stom" 9.15864582762216e-06
"Tanc2" 1.01019365759348e-05
"Tesk1" 1.18807026408808e-05
"C1qa" 1.22162652284266e-05
"Dlat" 1.29656907760155e-05
"Sdhc" 1.33658711692628e-05
"B230208H11Rik" 1.35934080805791e-05
"Mbp" 1.42283674733694e-05
"Cdkn1b" 1.44753902297627e-05
"Rab6a" 1.4806313934353e-05
"Arsg" 1.62797251646756e-05
"Pold3" 1.63209581594932e-05
"Egr2" 1.70126372423135e-05
"Gm71569" 1.72436615873804e-05
"Fhip1b" 1.7322104690655e-05
